ocel:activity,ocel:timestamp,ocel:type:MAT,ocel:type:PLA,ocel:type:PO_ITEM,ocel:type:SO_ITEM,ocel:type:CUSTOMER,ocel:type:SUPPLIER,Stock Before,Stock After,ocel:type:MAT_PLA,ocel:eid,Annual Demand (D_m),Average Daily Demand (d_m),Std Dev of Daily Demand (σ_m),Average Lead Time (l_m),EOQ,Safety Stock (SS),Reorder Point (ROP),OS,CUMCOUNT,INVCUMCOUNT,Current Status,Status Change Happened,Status Change Happened2,Status Change Happened3,Status Change Happened4
END UNDERSTOCK,2024-05-13 03:21:01,['MAT-100'],['Plant5'],,['SO_ITEM--74-3'],['CUSTOMER--32'],,0.0,0.0,['MAT-100_Plant5'],e1306_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
START UNDERSTOCK,2024-01-02 00:16:19,['MAT-10'],['Plant1'],['PO_ITEM--17-1'],,,['SUPPLIER--12'],0.0,0.0,['MAT-10_Plant1'],e108_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Understock,START UNDERSTOCK,,,
Create Purchase Order Item (Understock),2024-01-02 00:16:20,['MAT-10'],['Plant1'],['PO_ITEM--17-1'],,,['SUPPLIER--12'],0.0,0.0,['MAT-10_Plant1'],e108,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-01-22 00:16:30,['MAT-10'],['Plant1'],,['SO_ITEM--159-2'],['CUSTOMER--2'],,0.0,0.0,['MAT-10_Plant1'],e109,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,1,Understock,,,,
ST CHANGE Understock to Overstock,2024-04-20 00:17:49,['MAT-10'],['Plant1'],,['SO_ITEM--98-1'],['CUSTOMER--49'],,27.0,27.0,['MAT-10_Plant1'],e117_ARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
Create Sales Order Item (Overstock),2024-04-20 00:17:50,['MAT-10'],['Plant1'],,['SO_ITEM--98-1'],['CUSTOMER--49'],,27.0,27.0,['MAT-10_Plant1'],e117,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
END OVERSTOCK,2024-04-20 00:17:51,['MAT-10'],['Plant1'],,['SO_ITEM--98-1'],['CUSTOMER--49'],,27.0,27.0,['MAT-10_Plant1'],e117_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
START OVERSTOCK,2024-02-06 00:17:09,['MAT-10'],['Plant2'],['PO_ITEM--110-5'],,,['SUPPLIER--25'],0.0,27.0,['MAT-10_Plant2'],e113_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Overstock,START OVERSTOCK,,,
Goods Receipt (Overstock),2024-02-06 00:17:10,['MAT-10'],['Plant2'],['PO_ITEM--110-5'],,,['SUPPLIER--25'],0.0,27.0,['MAT-10_Plant2'],e113,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2024-02-27 00:17:20,['MAT-10'],['Plant2'],['PO_ITEM--37-3'],,,['SUPPLIER--4'],27.0,27.0,['MAT-10_Plant2'],e114,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,1,Overstock,,,,
Create Sales Order Item (Overstock),2024-05-18 00:18:10,['MAT-10'],['Plant2'],,['SO_ITEM--19-2'],['CUSTOMER--25'],,27.0,27.0,['MAT-10_Plant2'],e119,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Overstock,,END OVERSTOCK,,
END OVERSTOCK,2024-05-18 00:18:11,['MAT-10'],['Plant2'],,['SO_ITEM--19-2'],['CUSTOMER--25'],,27.0,27.0,['MAT-10_Plant2'],e119_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Overstock,,END OVERSTOCK,,
START UNDERSTOCK,2024-01-26 00:16:39,['MAT-10'],['Plant3'],,['SO_ITEM--95-3'],['CUSTOMER--40'],,10.0,10.0,['MAT-10_Plant3'],e110_STARTSC,37.0,37.0,3.7,7.0,27.2,16.1,275.1,43.3,0,5,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-01-26 00:16:40,['MAT-10'],['Plant3'],,['SO_ITEM--95-3'],['CUSTOMER--40'],,10.0,10.0,['MAT-10_Plant3'],e110,37.0,37.0,3.7,7.0,27.2,16.1,275.1,43.3,0,5,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-01-31 00:17:00,['MAT-10'],['Plant3'],,['SO_ITEM--41-3'],['CUSTOMER--38'],,10.0,10.0,['MAT-10_Plant3'],e112,37.0,37.0,3.7,7.0,27.2,16.1,275.1,43.3,1,4,Understock,,,,
ST CHANGE Understock to Normal,2024-03-16 00:17:39,['MAT-10'],['Plant3'],['PO_ITEM--92-4'],,,['SUPPLIER--28'],37.0,37.0,['MAT-10_Plant3'],e116_ARTSC,37.0,37.0,3.7,7.0,27.2,16.1,275.1,43.3,2,3,Normal,,,ST CHANGE Understock to Normal,ST CHANGE Understock to Normal
Create Purchase Order Item (Normal),2024-03-16 00:17:40,['MAT-10'],['Plant3'],['PO_ITEM--92-4'],,,['SUPPLIER--28'],37.0,37.0,['MAT-10_Plant3'],e116,37.0,37.0,3.7,7.0,27.2,16.1,275.1,43.3,2,3,Normal,,,ST CHANGE Understock to Normal,ST CHANGE Understock to Normal
Create Sales Order Item (Normal),2024-05-15 00:18:00,['MAT-10'],['Plant3'],,['SO_ITEM--196-4'],['CUSTOMER--26'],,37.0,37.0,['MAT-10_Plant3'],e118,37.0,37.0,3.7,7.0,27.2,16.1,275.1,43.3,3,2,Normal,,,,
Create Sales Order Item (Normal),2024-09-09 00:18:30,['MAT-10'],['Plant3'],,['SO_ITEM--13-2'],['CUSTOMER--1'],,37.0,37.0,['MAT-10_Plant3'],e121,37.0,37.0,3.7,7.0,27.2,16.1,275.1,43.3,4,1,Normal,,,,
ST CHANGE NORMAL to UNDERSTOCK,2024-09-24 00:18:39,['MAT-10'],['Plant3'],,,['CUSTOMER--881471'],,37.0,0.0,['MAT-10_Plant3'],e122_STARTSC,37.0,37.0,3.7,7.0,27.2,16.1,275.1,43.3,5,0,Understock,ST CHANGE NORMAL to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Normal to Understock,
Goods Issue (Understock),2024-09-24 00:18:40,['MAT-10'],['Plant3'],,,['CUSTOMER--881471'],,37.0,0.0,['MAT-10_Plant3'],e122,37.0,37.0,3.7,7.0,27.2,16.1,275.1,43.3,5,0,Understock,ST CHANGE NORMAL to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Normal to Understock,
END UNDERSTOCK,2024-09-24 00:18:41,['MAT-10'],['Plant3'],,,['CUSTOMER--881471'],,37.0,0.0,['MAT-10_Plant3'],e122_END,37.0,37.0,3.7,7.0,27.2,16.1,275.1,43.3,5,0,Understock,ST CHANGE NORMAL to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Normal to Understock,
START OVERSTOCK,2024-03-01 00:17:29,['MAT-10'],['Plant4'],['PO_ITEM--40-1'],,,['SUPPLIER--18'],27.0,27.0,['MAT-10_Plant4'],e115_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Overstock,START OVERSTOCK,END OVERSTOCK,,
Create Purchase Order Item (Overstock),2024-03-01 00:17:30,['MAT-10'],['Plant4'],['PO_ITEM--40-1'],,,['SUPPLIER--18'],27.0,27.0,['MAT-10_Plant4'],e115,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Overstock,START OVERSTOCK,END OVERSTOCK,,
END OVERSTOCK,2024-03-01 00:17:31,['MAT-10'],['Plant4'],['PO_ITEM--40-1'],,,['SUPPLIER--18'],27.0,27.0,['MAT-10_Plant4'],e115_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Overstock,START OVERSTOCK,END OVERSTOCK,,
START UNDERSTOCK,2024-01-31 00:16:49,['MAT-10'],['Plant5'],,['SO_ITEM--41-1'],['CUSTOMER--38'],,0.0,0.0,['MAT-10_Plant5'],e111_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-01-31 00:16:50,['MAT-10'],['Plant5'],,['SO_ITEM--41-1'],['CUSTOMER--38'],,0.0,0.0,['MAT-10_Plant5'],e111,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
ST CHANGE Understock to Overstock,2024-08-13 00:18:19,['MAT-10'],['Plant5'],,,,,27.0,27.0,['MAT-10_Plant5'],e120_ARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
Create Purchase Suggestion Item (Overstock),2024-08-13 00:18:20,['MAT-10'],['Plant5'],,,,,27.0,27.0,['MAT-10_Plant5'],e120,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
END OVERSTOCK,2024-08-13 00:18:21,['MAT-10'],['Plant5'],,,,,27.0,27.0,['MAT-10_Plant5'],e120_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
START UNDERSTOCK,2024-01-04 00:19:39,['MAT-11'],['Plant1'],,['SO_ITEM--24-1'],['CUSTOMER--33'],,0.0,0.0,['MAT-11_Plant1'],e129_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,3,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-01-04 00:19:40,['MAT-11'],['Plant1'],,['SO_ITEM--24-1'],['CUSTOMER--33'],,0.0,0.0,['MAT-11_Plant1'],e129,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,3,Understock,START UNDERSTOCK,,,
ST CHANGE Understock to Overstock,2024-05-10 00:19:59,['MAT-11'],['Plant1'],,,,,82.0,82.0,['MAT-11_Plant1'],e131_ARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,2,Overstock,,,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
Create Purchase Suggestion Item (Overstock),2024-05-10 00:20:00,['MAT-11'],['Plant1'],,,,,82.0,82.0,['MAT-11_Plant1'],e131,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,2,Overstock,,,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
Create Sales Order Item (Overstock),2024-08-04 00:20:20,['MAT-11'],['Plant1'],,['SO_ITEM--65-2'],['CUSTOMER--1'],,82.0,82.0,['MAT-11_Plant1'],e133,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,1,Overstock,,,,
Create Purchase Order Item (Overstock),2024-08-15 00:20:30,['MAT-11'],['Plant1'],['PO_ITEM--59-1'],,,['SUPPLIER--30'],82.0,82.0,['MAT-11_Plant1'],e134,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,0,Overstock,,END OVERSTOCK,,
END OVERSTOCK,2024-08-15 00:20:31,['MAT-11'],['Plant1'],['PO_ITEM--59-1'],,,['SUPPLIER--30'],82.0,82.0,['MAT-11_Plant1'],e134_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,0,Overstock,,END OVERSTOCK,,
START UNDERSTOCK,2023-11-07 00:18:59,['MAT-11'],['Plant2'],['PO_ITEM--135-3'],,,['SUPPLIER--6'],0.0,0.0,['MAT-11_Plant2'],e125_STARTSC,0.0,1.0,0.1,319.0,0.0,2.94,321.94,2.94,0,1,Understock,START UNDERSTOCK,,,
Create Purchase Order Item (Understock),2023-11-07 00:19:00,['MAT-11'],['Plant2'],['PO_ITEM--135-3'],,,['SUPPLIER--6'],0.0,0.0,['MAT-11_Plant2'],e125,0.0,1.0,0.1,319.0,0.0,2.94,321.94,2.94,0,1,Understock,START UNDERSTOCK,,,
ST CHANGE Understock to Overstock,2024-08-23 00:20:39,['MAT-11'],['Plant2'],,['SO_ITEM--31-2'],['CUSTOMER--15'],,49.0,49.0,['MAT-11_Plant2'],e135_ARTSC,0.0,1.0,0.1,319.0,0.0,2.94,321.94,2.94,1,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
Create Sales Order Item (Overstock),2024-08-23 00:20:40,['MAT-11'],['Plant2'],,['SO_ITEM--31-2'],['CUSTOMER--15'],,49.0,49.0,['MAT-11_Plant2'],e135,0.0,1.0,0.1,319.0,0.0,2.94,321.94,2.94,1,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
END OVERSTOCK,2024-08-23 00:20:41,['MAT-11'],['Plant2'],,['SO_ITEM--31-2'],['CUSTOMER--15'],,49.0,49.0,['MAT-11_Plant2'],e135_END,0.0,1.0,0.1,319.0,0.0,2.94,321.94,2.94,1,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
START OVERSTOCK,2024-01-07 00:19:49,['MAT-11'],['Plant3'],['PO_ITEM--100-5'],,,['SUPPLIER--15'],0.0,82.0,['MAT-11_Plant3'],e130_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Overstock,START OVERSTOCK,,,
Goods Receipt (Overstock),2024-01-07 00:19:50,['MAT-11'],['Plant3'],['PO_ITEM--100-5'],,,['SUPPLIER--15'],0.0,82.0,['MAT-11_Plant3'],e130,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Overstock,START OVERSTOCK,,,
Create Sales Order Item (Overstock),2024-06-20 00:20:10,['MAT-11'],['Plant3'],,['SO_ITEM--141-1'],['CUSTOMER--23'],,82.0,82.0,['MAT-11_Plant3'],e132,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Overstock,,END OVERSTOCK,,
END OVERSTOCK,2024-06-20 00:20:11,['MAT-11'],['Plant3'],,['SO_ITEM--141-1'],['CUSTOMER--23'],,82.0,82.0,['MAT-11_Plant3'],e132_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Overstock,,END OVERSTOCK,,
START UNDERSTOCK,2023-10-26 00:18:49,['MAT-11'],['Plant4'],,['SO_ITEM--129-1'],['CUSTOMER--49'],,0.0,0.0,['MAT-11_Plant4'],e124_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2023-10-26 00:18:50,['MAT-11'],['Plant4'],,['SO_ITEM--129-1'],['CUSTOMER--49'],,0.0,0.0,['MAT-11_Plant4'],e124,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
ST CHANGE Understock to Overstock,2023-12-15 00:19:19,['MAT-11'],['Plant4'],,['SO_ITEM--50-2'],['CUSTOMER--48'],,46.0,46.0,['MAT-11_Plant4'],e127_ARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
Create Sales Order Item (Overstock),2023-12-15 00:19:20,['MAT-11'],['Plant4'],,['SO_ITEM--50-2'],['CUSTOMER--48'],,46.0,46.0,['MAT-11_Plant4'],e127,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
END OVERSTOCK,2023-12-15 00:19:21,['MAT-11'],['Plant4'],,['SO_ITEM--50-2'],['CUSTOMER--48'],,46.0,46.0,['MAT-11_Plant4'],e127_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Overstock,,END OVERSTOCK,ST CHANGE Understock to Overstock,ST CHANGE Understock to Overstock
START OVERSTOCK,2023-11-10 00:19:09,['MAT-11'],['Plant5'],['PO_ITEM--137-1'],,,['SUPPLIER--18'],33.0,79.0,['MAT-11_Plant5'],e126_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Overstock,START OVERSTOCK,,,
Goods Receipt (Overstock),2023-11-10 00:19:10,['MAT-11'],['Plant5'],['PO_ITEM--137-1'],,,['SUPPLIER--18'],33.0,79.0,['MAT-11_Plant5'],e126,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Overstock,START OVERSTOCK,,,
ST CHANGE OVERSTOCK to UNDERSTOCK,2023-12-16 00:19:29,['MAT-11'],['Plant5'],,,['CUSTOMER--183437'],,79.0,0.0,['MAT-11_Plant5'],e128_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
Goods Issue (Understock),2023-12-16 00:19:30,['MAT-11'],['Plant5'],,,['CUSTOMER--183437'],,79.0,0.0,['MAT-11_Plant5'],e128,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
END UNDERSTOCK,2023-12-16 00:19:31,['MAT-11'],['Plant5'],,,['CUSTOMER--183437'],,79.0,0.0,['MAT-11_Plant5'],e128_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
START OVERSTOCK,2024-03-13 00:20:59,['MAT-12'],['Plant1'],['PO_ITEM--43-2'],,,['SUPPLIER--6'],17.0,17.0,['MAT-12_Plant1'],e138_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,4,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2024-03-13 00:21:00,['MAT-12'],['Plant1'],['PO_ITEM--43-2'],,,['SUPPLIER--6'],17.0,17.0,['MAT-12_Plant1'],e138,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,4,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2024-03-14 00:21:20,['MAT-12'],['Plant1'],['PO_ITEM--49-3'],,,['SUPPLIER--20'],17.0,17.0,['MAT-12_Plant1'],e140,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,3,Overstock,,,,
Create Purchase Order Item (Overstock),2024-03-26 00:21:40,['MAT-12'],['Plant1'],['PO_ITEM--78-1'],,,['SUPPLIER--22'],17.0,17.0,['MAT-12_Plant1'],e142,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,2,Overstock,,,,
Create Purchase Order Item (Overstock),2024-05-12 00:22:00,['MAT-12'],['Plant1'],['PO_ITEM--20-1'],,,['SUPPLIER--25'],17.0,17.0,['MAT-12_Plant1'],e144,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,1,Overstock,,,,
Create Purchase Order Item (Overstock),2024-06-08 00:22:10,['MAT-12'],['Plant1'],['PO_ITEM--86-4'],,,['SUPPLIER--18'],17.0,17.0,['MAT-12_Plant1'],e145,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,4,0,Overstock,,END OVERSTOCK,,
END OVERSTOCK,2024-06-08 00:22:11,['MAT-12'],['Plant1'],['PO_ITEM--86-4'],,,['SUPPLIER--18'],17.0,17.0,['MAT-12_Plant1'],e145_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,4,0,Overstock,,END OVERSTOCK,,
START OVERSTOCK,2024-03-14 00:21:09,['MAT-12'],['Plant2'],['PO_ITEM--49-1'],,,['SUPPLIER--20'],17.0,17.0,['MAT-12_Plant2'],e139_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2024-03-14 00:21:10,['MAT-12'],['Plant2'],['PO_ITEM--49-1'],,,['SUPPLIER--20'],17.0,17.0,['MAT-12_Plant2'],e139,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2024-03-14 00:21:30,['MAT-12'],['Plant2'],['PO_ITEM--129-4'],,,['SUPPLIER--11'],17.0,17.0,['MAT-12_Plant2'],e141,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,1,Overstock,,,,
Create Purchase Order Item (Overstock),2024-04-18 00:21:50,['MAT-12'],['Plant2'],['PO_ITEM--120-2'],,,['SUPPLIER--6'],17.0,17.0,['MAT-12_Plant2'],e143,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Overstock,,END OVERSTOCK,,
END OVERSTOCK,2024-04-18 00:21:51,['MAT-12'],['Plant2'],['PO_ITEM--120-2'],,,['SUPPLIER--6'],17.0,17.0,['MAT-12_Plant2'],e143_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Overstock,,END OVERSTOCK,,
START OVERSTOCK,2024-07-11 00:22:19,['MAT-12'],['Plant3'],,['SO_ITEM--180-4'],['CUSTOMER--28'],,17.0,17.0,['MAT-12_Plant3'],e146_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Overstock,START OVERSTOCK,END OVERSTOCK,,
Create Sales Order Item (Overstock),2024-07-11 00:22:20,['MAT-12'],['Plant3'],,['SO_ITEM--180-4'],['CUSTOMER--28'],,17.0,17.0,['MAT-12_Plant3'],e146,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Overstock,START OVERSTOCK,END OVERSTOCK,,
END OVERSTOCK,2024-07-11 00:22:21,['MAT-12'],['Plant3'],,['SO_ITEM--180-4'],['CUSTOMER--28'],,17.0,17.0,['MAT-12_Plant3'],e146_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Overstock,START OVERSTOCK,END OVERSTOCK,,
START OVERSTOCK,2024-02-25 00:20:49,['MAT-12'],['Plant5'],['PO_ITEM--43-1'],,,['SUPPLIER--6'],80.0,97.0,['MAT-12_Plant5'],e137_STARTSC,97.0,97.0,9.700000000000001,7.0,44.05,42.22,721.22,86.27,0,1,Overstock,START OVERSTOCK,,,
Goods Receipt (Overstock),2024-02-25 00:20:50,['MAT-12'],['Plant5'],['PO_ITEM--43-1'],,,['SUPPLIER--6'],80.0,97.0,['MAT-12_Plant5'],e137,97.0,97.0,9.700000000000001,7.0,44.05,42.22,721.22,86.27,0,1,Overstock,START OVERSTOCK,,,
